textualRating,size
FALSE,548
Mostly False,100
Mostly True,92
Pants on Fire,82
TRUE,78
Half True,62
Misleading,45
Falso,30
Three Pinocchios,27
FALSE,23
Two Pinocchios,21
Missing Context,15
Four Pinocchios,15
No Evidence,14
Spins the Facts,13
مضلل,12
Mostly false,12
Half true,11
Satire,10
falso,10
Mixture,10
We Review His Record,9
Correct Attribution,8
False: Bad conduct discharge,7
Geppetto Checkmark,6
Faux,6
Salah [False Context],6
Incorrect,6
Not the whole story,5
Unproven,5
This is misleading.,5
Exagerado,5
Distorts the Facts,5
Distorts The Facts,5
The decommissioning process of MILF rebels already started in 2015 as part of the agreement between the rebel group and the Philippine government. An international decommissioned body was in charge of overseeing the process.,5
زائف,5
The majority are suicides.,4
Not accurate,4
Trump shifts stances,4
Salah [TRUE],4
Salah [Clarification],4
"Verdadeiro, mas",4
Evidence gets stronger,4
Engañoso,4
Mental health experts say no,4
Discutible,4
Miscaptioned,4
Depends on how you do the math,4
misleading,4
By Some Counts Yes,4
Facile comparison,4
Lots of context needed,3
Insustentável,3
Out of Context,3
Too soon to say,3
Sem contexto,3
No proof this happened,3
Partly False,3
Unclear,3
Not the Whole Story,3
FAUX,3
Unsupported,3
Verdadeiro,3
Evidence Unclear,3
Newspaper didn't alter stories,3
Disputed Claim,3
Wrong,3
Not the best example,2
Notizia falsa,2
Not clear yet,2
43% Murders,2
The number checks out.,2
Poco probable,2
Predominantemente falso,2
Rates are even higher,2
Reality is more complex,2
Salah [Misleading Content],2
Science Doesn't Support Claim,2
Sesat,2
Starting Point,2
The viral image of the clergyman posing with a gun in a church has been online since January 2017 and has nothing to do with the Sokoto incident of last week; thus making the claim FALSE.,2
True.,2
Understated/exaggerated,2
We Explain the Number,2
We don’t have exact figures for this year yet. The closest data we have is for homicides involving stabbings in London until the end of last year and those involving stabbings or shootings across the whole of England and Wales in 2016/17. These show increases in the past year or two and more young male victims.,2
rather_false,2
"Το πυροβόλο Bofors, μπροστά από το οποίο φωτογραφίζεται Ουκρανός στρατιώτης, δε φέρει ""ελληνική"" παραλλαγή, αλλά ένα κοινό χρώμα παραλλαγής, που χρησιμοποιείται και από άλλους στρατούς. Επιπλέον, το κίτρινο χρώμα στις δυο κάνες, βρίσκεται σε διαφορετική θέση, ενώ οι δυο φωτογραφίες που τις απεικονίζουν, έχουν ληφθεί με διαφορά 11 χρόνων μεταξύ τους.",2
Not Her Plan,2
錯誤,2
Discutível,2
Both claims are False,2
Lacks Context,2
Errado,2
Fake,2
Fake News. Il VAERS non riporta il numero di morti da vaccino e il dato delle morti da armi da fuoco è errato per eccesso,2
Government-Run,2
Many guns still allowed,2
Depends how you count,2
Correct,2
Exaggerates,2
Misses Mark,2
Experts are skeptical,2
"Moorland in England used for grouse shooting is eligible for agricultural subsidy, though the act of shooting itself isn’t subsidised.

Data on the total subsidy paid to grouse moors isn’t published, though the £45 and £84 million figures are likely to be overestimates.",2
NRA Opposed Toomey's Bill,2
A,2
No Effect,2
No Giveaway,2
Altered,2
Falta Contexto,2
Falsa.,1
Fake Quote,1
U.S. Citizen,1
False – The primary claims of the content are factually inaccurate.,1
Experts say no causal link,1
Unproven.,1
Trolling,1
Fake Tweets,1
No proof of ISIS links (FBI),1
Evidence is growing,1
Very Old Stats,1
Vote delayed,1
We Explain the Research,1
Tracks with rough data,1
We Review Research,1
Different Guy,1
Cops Say No,1
Both reports of the death of a man named Bernie Gores are fake.,1
تضليل,1
خطأ,1
About 98.9%,1
部分錯誤,1
Training,1
Fałsz.,1
False. None of those four countries give children firearms at school.,1
"False. The footage actually shows a robbery in Houston that took place more than four years ago, on March 1, 2016.",1
Nobody Shot at March,1
No ID On Agent,1
Not Ramos,1
Not Stolen,1
Mostly Legit,1
Mix,1
Misplaced Context,1
Phrase evokes police brutality,1
"Misleading. The original video was produced in 2016. It shows a fire alarm, not a sonic gun. It has nothing to do with the China-India conflict in 2020.",1
Many private sales exempt,1
Manipulacja.,1
Recycled Bunk,1
Repeat Prank,1
Reverse Order,1
SALAH,1
MISLEADING,1
Lacks context,1
Keliru,1
Just Ramos,1
It's Calif. law,1
His numbers are outdated,1
He's very close,1
Shift from past position,1
"Größtenteils falsch. Polizeibeamte dürfen nicht von einer Schusswaffe Gebrauch machen, nur weil sich eine SARS-CoV-2-infizierte Person nicht an die Quarantäne hält.",1
The claim that the Ugandan police spokesman hits a news reporter with a catapult for asking irrelevant questions is FALSE.,1
Got the wrong person,1
Flip- flop,1
No Such Case,1
Fałsz,1
Ne postoje dokazi da je riječ o false flag operaciji.,1
