type,affix,lang,word,trans,trans2,ref
prefix,uni,Spanish,universe,universo,universo,universe
suffix,ate,Norwegian,postulate,postulat,postulat,postulate
prefix,aqu,Dutch,aquaduct,aquaduct,aquaduct,aquaduct
suffix,ate,Catalan,gyrate,gyrate,gyrate,gyrate
prefix,bio,Scottish,biohazard,biohazard,biohazard,biohazard
prefix,mis,Icelandic,misunderstand,misskilja,miskilja,misunderstand
prefix,viv,French,vivid,vif,vif,vivid
prefix,co,Hungarian,coexist,coexist,coexist,coexist
prefix,ex,Dutch,ex-husband,ex-echtgenoot,ex-echtgenoot,ex-husband
prefix,bi,Portuguese,bilateral,bilateral,bilateral,bilateral
prefix,dist,German,equidistant,äquidistante,aquidistante,equidistant
prefix,dis,Luxembourgish,disapprove,missbilligen,misbiligen,disaprove
prefix,trans,Spanish,translate,TRADUCIR,traducir,translate
suffix,ium,French,podium,podium,podium,podium
prefix,com,Luxembourgish,community,Communautéit,communauteit,community
prefix,intra,Danish,intrasttate,intrasttat,intrasttat,intrasttate
infix,phil,Swedish,anglophile,anglophile,anglofile,anglofile
infix,hydr,Italian,anhydrate,anidrato,anidrato,anhydrate
suffix,eer,Hungarian,engineer,mérnök,mernok,engineer
suffix,ly,Dutch,bravely,dapper,daper,bravely
suffix,y,Swedish,grouchy,grouchy,grouchy,grouchy
prefix,aud,Italian,auditorium,Auditorium,auditorium,auditorium
prefix,semi,Estonian,semiconductor,pooljuht,pooljuht,semiconductor
suffix,or,Estonian,translator,tõlkija,tolkija,translator
suffix,ant,Basque,defiant,defizitarioa,defizitarioa,defiant
suffix,some,German,fearsome,furchterregend,furchterregend,fearsome
suffix,en,Portuguese,strengthen,reforcar,reforcar,strengthen
prefix,hyper,Scottish,hypertension,hypertension,hypertension,hypertension
prefix,cog,Danish,cognition,kognition,kognition,cognition
prefix,micro,Swedish,microcosm,mikrokosmos,mikrokosmos,microcosm
prefix,div,Icelandic,divide,deila,deila,divide
infix,just,Welsh,injustice,anghyfiawnder,anghyfiawnder,injustice
suffix,or,Latin,translator,translator,translator,translator
suffix,ive,Finnish,preventive,ehkäisevä,ehkaiseva,preventive
suffix,ion,English,opinion,opinion,opinion,opinion
prefix,flu,Danish,fluid,væske,vaeske,fluid
prefix,aud,Basque,auditory,auditorioa,auditorioa,auditory
suffix,er,Welsh,helper,cynorthwy-ydd,cynorthwy-ydd,helper
prefix,il,Catalan,illegal,illegal,ilegal,ilegal
suffix,ish,French,squeamish,délicat,delicat,squeamish
prefix,equ,Finnish,equal,yhtäläinen,yhtalainen,equal
prefix,sect,Spanish,sector,sector,sector,sector
prefix,com,Basque,compartment,konpartimenduan,konpartimenduan,compartment
prefix,anti,Dutch,antisocial,antisociaal,antisociaal,antisocial
prefix,viv,Hungarian,vivid,vivid,vivid,vivid
suffix,ic,Finnish,heroic,sankarillinen,sankarilinen,heroic
prefix,con,Scottish,confound,confound,confound,confound
suffix,some,Icelandic,handsome,myndarlegur,myndarlegur,handsome
prefix,extra,Latvian,extravert,ekstraverts,ekstraverts,extravert
suffix,ward,German,awkward,umständlich,umstandlich,awkward
suffix,ian,Swedish,reptilian,drakvarelsen,drakvarelsen,reptilian
prefix,contra,Latin,contraflow,contraflow,contraflow,contraflow
suffix,sion,Icelandic,tension,spenna,spena,tension
prefix,ex,Latin,ex-husband,ex-vir,ex-vir,ex-husband
prefix,blan,Finnish,blanch,blanch,blanch,blanch
suffix,wise,Latin,edgewise,edgewise,edgewise,edgewise
suffix,ous,Luxembourgish,cautious,virsiichteg,virsiichteg,cautious
suffix,ness,Norwegian,kindness,vennlighet,venlighet,kindnes
prefix,co,Dutch,coworker,collega,colega,coworker
suffix,wise,German,lengthwise,Längs,langs,lengthwise
prefix,tele,Dutch,telescope,telescoop,telescoop,telescope
prefix,equ,Scottish,equilateral,equilateral,equilateral,equilateral
prefix,dis,Hungarian,disapprove,Elutasít,elutasit,disaprove
infix,mort,Portuguese,immortal,imortal,imortal,immortal
prefix,counter,English,counter-attack,counter-attack,counter-attak,counter-attak
suffix,opolis,Catalan,metropolis,metròpolis,metropolis,metropolis
prefix,sept,Dutch,septuplet,septuplet,septuplet,septuplet
infix,cog,Portuguese,recognize,reconhecer,reconhecer,recognize
suffix,ness,Basque,darkness,iluntasuna,iluntasuna,darnes
prefix,tri,Irish,trifecta,trifecta,trifecta,trifecta
suffix,some,Spanish,handsome,guapo,guapo,handsome
suffix,eum,Luxembourgish,museum,Museum,museum,museum
prefix,necro,Latvian,necropolis,necropolis,necropolis,necropolis
suffix,ium,Basque,stadium,estadioa,estadioa,stadium
suffix,sion,Danish,depression,depression,depresion,depresion
prefix,macro,Catalan,macroscopic,macroscòpic,macroscopic,macroscopic
prefix,aqu,Spanish,aquaduct,acueducto,acueducto,aquaduct
suffix,ness,English,kindness,kindness,kindnes,kindnes
suffix,eum,Icelandic,coliseum,hringleikahúsið,hringleikahusio,coliseum
prefix,re,Icelandic,re-evaluate,endurmeta,endurmeta,re-evaluate
suffix,gon,Hungarian,dodecahedron,dodekaéder,dodekaeder,dodecahedron
prefix,bi,Welsh,bilateral,dwyochrog,dwyochrog,bilateral
prefix,bene,Finnish,benefactor,hyväntekijä,hyvantekija,benefactor
prefix,flu,Icelandic,fluent,altalandi,altalandi,fluent
prefix,pre,Latin,preschool,pellentesque,pelentesque,preshool
prefix,bene,Latin,benevolent,benigna,benigna,benevolent
suffix,ive,Dutch,preventive,preventief,preventief,preventive
suffix,er,French,teacher,enseignant,enseignant,teacher
prefix,mono,Portuguese,monochrome,monocromatico,monocromatico,monochrome
suffix,ary,Welsh,budgetary,cyllidebol,cylidebol,budgetary
suffix,wise,English,lengthwise,lengthwise,lengthwise,lengthwise
suffix,ful,Basque,wonderful,zoragarria,zoragarria,wonderful
prefix,flu,Welsh,flux,fflwcs,fflwcs,flux
prefix,com,Latvian,commiserate,commiserate,commiserate,commiserate
suffix,ant,Italian,defiant,defiant,defiant,defiant
suffix,ium,Swedish,stadium,stadion,stadion,stadium
prefix,de,Danish,deactivate,deaktivere,deaktivere,deactivate
suffix,ic,Hungarian,iconic,ikonikus,ikonikus,iconic
prefix,mono,Basque,monotone,monotone,monotone,monotone
prefix,ab,Finnish,abnormal,epänormaali,epanormaali,abnormal
prefix,para,Luxembourgish,paralegal,Rechtsanwaltsfachangestellte,rechtsanwaltsfachangestelte,paralegal
prefix,aud,Welsh,auditorium,awditoriwm,awditoriwm,auditorium
prefix,inter,Estonian,interstate,riikidevaheline,riikidevaheline,interstate
infix,cog,Scottish,incognito,incognito,incognito,incognito
prefix,hetero,Luxembourgish,heterogeneous,heterogen,heterogen,heterogeneous
suffix,ward,Luxembourgish,awkward,ëmständlech,emstandlech,awkward
prefix,cog,Scottish,cognition,cognition,cognition,cognition
prefix,im,Italian,impermeable,impermeabile,impermeabile,impermeable
prefix,mega,Norwegian,megaphone,megafon,megafon,megafone
infix,olog,Estonian,anthropologic,antropoloogiline,antropoloogiline,anthropologic
prefix,co,Welsh,copilot,copilot,copilot,copilot
suffix,ion,Scottish,opinion,beachd,beachd,opinion
prefix,para,Portuguese,paranormal,paranormal,paranormal,paranormal
prefix,just,Hungarian,justice,igazság,igazsag,justice
suffix,er,Norwegian,preacher,predikant,predikant,preacher
prefix,tele,Hungarian,telescope,teleszkóp,teleszkop,telescope
prefix,mono,Swedish,monochrome,svartvit,svartvit,monochrome
suffix,ary,Norwegian,budgetary,budsjett,budsjett,budgetary
prefix,son,Icelandic,sonic,sonja,sonja,sonic
prefix,super,French,supercilious,supercilious,supercilious,supercilious
prefix,viv,Catalan,vivid,vivid,vivid,vivid
prefix,jur,English,jury,jury,jury,jury
suffix,ity,Portuguese,equality,igualdade,igualdade,equality
prefix,inter,Danish,intermittent,periodisk,periodisk,intermittent
infix,bio,Norwegian,antibiotic,antibiotikum,antibiotikum,antibiotic
prefix,mort,Scottish,mortal,mortal,mortal,mortal
prefix,flu,Italian,fluent,fluente,fluente,fluent
prefix,blan,Spanish,blank,blanco,blanco,blank
infix,phob,Spanish,claustrophobic,claustrofóbico,claustrofobico,claustrofobic
suffix,gon,Welsh,polygon,polygon,polygon,polygon
prefix,semi,Welsh,semiconductor,lled-ddargludyddion,led-ddargludyddion,semiconductor
prefix,hyper,Italian,hypertension,ipertensione,ipertensione,hypertension
prefix,bi,Dutch,bilateral,bilateraal,bilateraal,bilateral
infix,just,French,injustice,injustice,injustice,injustice
prefix,super,German,superfluous,überflüssig,uberflusig,superfluous
suffix,ium,Portuguese,aquarium,Aquario,aquario,aquarium
prefix,demi,Spanish,demimonde,demimonde,demimonde,demimonde
suffix,or,Finnish,translator,kääntäjä,kaantaja,translator
prefix,aqu,German,aquaduct,aquadukt,aquadukt,aquaduct
suffix,ion,English,decision,decision,decision,decision
suffix,istry,Finnish,chemistry,kemia,kemia,chemistry
infix,phob,Dutch,claustrophobic,claustrofobisch,claustrofobish,claustrofobic
prefix,dist,English,equidistant,equidistant,equidistant,equidistant
prefix,semi,Norwegian,semi-retired,semi-pensjonert,semi-pensjonert,semi-retired
suffix,or,Luxembourgish,conductor,Dirigent,dirigent,conductor
suffix,ian,Welsh,reptilian,reptilian,reptilian,reptilian
prefix,in,Icelandic,incomplete,ófullnægjandi,ofulnaegjandi,incomplete
suffix,ly,Finnish,simply,yksinkertaisesti,yksinkertaisesti,simply
suffix,sect,Latin,dissect,dissect,disect,disect
suffix,ic,Irish,iconic,íocónach,ioconach,iconic
suffix,ize,Latin,commercialize,commercialize,commercialize,commercialize
prefix,hetero,Basque,heterogeneous,heterogeneoa,heterogeneoa,heterogeneous
prefix,mort,Latin,mortuary,mortuarii,mortuarii,mortuary
suffix,ive,Icelandic,preventive,fyrirbyggjandi,fyrirbyggjandi,preventive
prefix,poly,Finnish,polygamy,moniavioisuus,moniavioisuus,polygamy
suffix,ly,English,bravely,bravely,bravely,bravely
suffix,ary,Basque,honorary,ohorezko,ohorezko,honorary
suffix,ist,Latin,psychologist,psychologist,psychologist,psychologist
prefix,hydr,Icelandic,hydrate,hydrate,hydrate,hydrate
suffix,ward,Basque,awkward,baldar,baldar,awkward
prefix,mid,Hungarian,midseason,középszezon,kozepszezon,midseason
prefix,contra,Spanish,contraindicated,contraindicado,contraindicado,contraindicated
prefix,trans,Welsh,transferrence,transferrence,transferrence,transferrence
suffix,ee,Basque,retiree,retiree,retiree,retiree
prefix,circum,Norwegian,circumvent,omgå,omga,circumvent
suffix,th,Catalan,warmth,calidesa,calidesa,warmth
suffix,ward,Icelandic,backward,afturábak,afturabak,bakward
suffix,ish,Finnish,squeamish,herkkänahkainen,herkkanahkainen,squeamish
prefix,blan,French,bland,fade,fade,bland
prefix,en,Welsh,envelope,amlen,amlen,envelope
prefix,sex,Icelandic,sexism,sexism,sexism,sexism
suffix,ate,Dutch,undulate,golvend,golvend,undulate
suffix,istry,Finnish,sophistry,sofistiikka,sofistiikka,sofistry
prefix,auto,Hungarian,autobiography,önéletrajz,oneletrajz,autobiografy
