type,affix,lang,word,trans,trans2,ref,equiv
prefix,tele,Latin,telescope,telescopium,telescopium,telescope,1
prefix,hydr,Italian,hydrant,idrante,idrante,hydrant,1
suffix,ive,Norwegian,creative,kreativ,kreativ,creative,1
suffix,ity,Swedish,probability,sannolikhet,sannolikhet,probability,0
prefix,noct,Icelandic,nocturnal,næturdýr,naeturdyr,nocturnal,1
suffix,ible,Swedish,credible,trovärdig,trovardig,credible,0
prefix,uni,Basque,unicycle,mundialak,mundialak,unicycle,0
prefix,trans,Spanish,transferrence,transferencia.,transferencia.,transferrence,1
prefix,bio,Basque,biomass,biomasa,biomasa,biomas,1
suffix,ible,German,credible,glaubwürdig,glaubwurdig,credible,0
infix,viv,Swedish,convivial,gemytlig,gemytlig,convivial,0
suffix,ist,Dutch,receptionist,receptionist,receptionist,receptionist,1
suffix,ing,Portuguese,driving,conducao,conducao,driving,0
prefix,ped,Portuguese,pedometer,Pedometro,pedometro,pedometer,1
prefix,trans,Portuguese,translate,traduzir,traduzir,translate,1
suffix,en,Scottish,lengthen,lengthen,lengthen,lengthen,1
suffix,some,Italian,lonesome,solitario,solitario,lonesome,0
prefix,re,Swedish,rewrite,skriva,skriva,rerite,0
suffix,ment,Italian,abandonment,abbandono,abbandono,abandonment,1
prefix,non,Danish,nonfiction,nonfiction,nonfiction,nonfiction,1
suffix,er,Basque,fuller,fuller,fuller,fuler,1
prefix,trans,Icelandic,translate,þýða,thyoa,translate,0
suffix,eum,Irish,mausoleum,mausoleum,mausoleum,mausoleum,1
prefix,son,Scottish,sonar,sonar,sonar,sonar,1
suffix,ant,Latin,defiant,ferociter,ferociter,defiant,0
infix,sym,Finnish,assymetric,assymetric,assymetric,asymetric,1
prefix,ir,German,irreversible,irreversibel,irreversibel,irreversible,1
prefix,viv,Latin,vivisection,vivisection,vivisection,vivisection,1
suffix,ion,Dutch,decision,beslissing,beslissing,decision,0
suffix,istry,Danish,sophistry,sofisteri,sofisteri,sofistry,1
suffix,ate,Irish,gyrate,gyrate,gyrate,gyrate,1
suffix,ing,Luxembourg,writing,germanescht,germanescht,riting,0
suffix,ary,Swedish,military,militär,militar,military,1
suffix,ive,Danish,expensive,dyrt,dyrt,expensive,0
prefix,mis,Danish,misuse,misbrug,misbrug,misuse,0
prefix,uni,Latvian,uniform,vienots,vienots,uniform,0
prefix,press,Scottish,pressing,bheag,bheag,presing,0
prefix,over,Portuguese,overwrought,overwrought,overwrought,overrought,1
prefix,hyper,Estonian,hyperactive,hüperaktiivne,huperaktiivne,hyperactive,1
suffix,ish,French,squeamish,délicat,delicat,squeamish,0
prefix,hetero,Icelandic,heterogeneous,ólíkum,olikum,heterogeneous,0
prefix,hydr,Norwegian,hydrate,fukte,fukte,hydrate,0
prefix,micro,Luxembourg,microcosm,Mikrokosmos,mikrokosmos,microcosm,1
prefix,extra,Scottish,extraterrestrial,extraterrestrial,extraterrestrial,extraterrestrial,1
prefix,ante,Danish,anterior,forreste,forreste,anterior,0
prefix,nat,Welsh,native,brodorol,brodorol,native,0
prefix,dist,Icelandic,distant,fjarlæg,fjarlaeg,distant,0
prefix,poly,Swedish,polyester,polyester,polyester,polyester,1
prefix,non,Basque,nonfiction,ez-fikzioa,ez-fikzioa,nonfiction,0
suffix,ive,Icelandic,creative,skapandi,skapandi,creative,0
suffix,ism,Italian,patriotism,patriottismo,patriottismo,patriotism,1
suffix,istry,Italian,sophistry,sofisma,sofisma,sofistry,1
prefix,macro,Danish,macroscopic,makroskopisk,makroskopisk,macroscopic,1
infix,viv,Estonian,convivial,meeleolukas,meeleolukas,convivial,0
suffix,ion,Latin,decision,iudicium,iudicium,decision,0
suffix,ward,Catalan,awkward,maldestre,maldestre,awkward,0
suffix,er,Hungarian,fuller,fuller,fuller,fuler,1
suffix,ism,Scottish,patriotism,patriotism,patriotism,patriotism,1
prefix,inter,Finnish,intersect,risteymä,risteyma,intersect,0
prefix,gyn,Basque,gynecology,ginekologia,ginekologia,gynecology,1
infix,hydr,Estonian,anhydrate,anhüdraat,anhudraat,anhydrate,1
prefix,nat,Irish,natural,nádúrtha,nadurtha,natural,1
prefix,nat,Irish,natural,nádúrtha,nadurtha,natural,1
prefix,nat,Irish,natural,nádúrtha,nadurtha,natural,1
prefix,nat,Irish,natural,nádúrtha,nadurtha,natural,1
prefix,contra,Catalan,contraflow,contraforts,contraforts,contraflow,1
prefix,mega ,Luxembourg,megaphone,megaphone,megaphone,megafone,1
infix,hydr,Swedish,dehydrate,dehydrate,dehydrate,dehydrate,1
prefix,gyn,Irish,gynecology,gynecology,gynecology,gynecology,1
prefix,ab,Catalan,absent,absent,absent,absent,1
prefix,press,Latin,pressing,instans,instans,presing,0
suffix,istry,Luxembourg,dentistry,zahnmedizin,zahnmedizin,dentistry,0
prefix,circum ,Swedish,circumnavigate,kringgå,kringga,circumnavigate,0
prefix,tri,Scottish,triumvirate,triumvirate,triumvirate,triumvirate,1
infix,morph,Luxembourg,amorphous,amorph,amorph,amorfous,1
prefix,poly,Luxembourg,polygamy,Polygamie,polygamie,polygamy,1
suffix,en,French,lengthen,allonger,allonger,lengthen,0
prefix,aqu,Portuguese,aquatic,aquatico,aquatico,aquatic,1
prefix,circum ,Basque,circumvent,inguratzailea,inguratzailea,circumvent,0
prefix,term,Portuguese,terminate,terminar,terminar,terminate,1
prefix,intra,Hungarian,intramural,intramuralis,intramuralis,intramural,1
suffix,ate,French,postulate,postulat,postulat,postulate,1
suffix,ity,Luxembourg,equality,Gleichheit,gleichheit,equality,0
suffix,less,Finnish,faultless,virheetön,virheeton,faultles,0
prefix,de,Scottish,deplane,deplane,deplane,deplane,1
suffix,ive,Catalan,preventive,preventiu,preventiu,preventive,1
